vertex,fsaverage_vertex,parcel,mni152_r,mni152_a,mni152_s
0,29,VisCent_Striate_2_LH,-14.756,-105.372,2.621
1,66,VisCent_Striate_2_LH,-14.423,-104.697,9.144
2,101,VisCent_ExStr_11_LH,-18.174,-104.540,6.567
3,141,VisCent_Striate_2_LH,-9.200,-104.748,-0.151
4,178,VisCent_ExStr_8_LH,-19.511,-104.502,-2.897
5,191,VisCent_ExStr_8_LH,-14.830,-104.661,-4.827
6,224,VisCent_ExStr_13_LH,-15.650,-103.737,12.617
7,249,VisCent_Striate_2_LH,-7.355,-104.121,8.352
8,256,VisCent_Striate_2_LH,-5.981,-103.567,7.037
9,259,VisCent_ExStr_11_LH,-21.237,-103.672,6.810
10,335,VisCent_ExStr_8_LH,-21.807,-103.753,-5.339
11,372,VisCent_ExStr_8_LH,-14.507,-103.558,-9.026
12,387,VisCent_ExStr_13_LH,-13.126,-102.682,16.337
13,418,VisCent_ExStr_11_LH,-19.143,-102.699,12.396
14,454,VisCent_Striate_2_LH,-4.571,-102.589,4.314
15,466,VisCent_ExStr_11_LH,-24.242,-102.658,3.056
16,477,VisCent_Striate_2_LH,-5.509,-102.886,-1.252
17,482,VisCent_Striate_2_LH,-6.118,-102.608,-2.740
18,488,VisCent_ExStr_8_LH,-25.634,-102.534,-2.084
19,505,VisCent_ExStr_8_LH,-9.363,-102.832,-6.784
20,508,VisCent_ExStr_8_LH,-24.665,-102.522,-6.375
21,528,VisCent_ExStr_8_LH,-21.376,-102.850,-9.657
22,544,VisCent_ExStr_8_LH,-15.397,-102.690,-11.499
23,547,VisCent_ExStr_8_LH,-18.141,-102.820,-11.145
24,567,VisCent_ExStr_13_LH,-9.667,-101.559,18.397
25,605,VisCent_ExStr_13_LH,-5.711,-102.472,11.617
26,622,VisCent_Striate_2_LH,-4.698,-102.167,6.908
27,631,VisCent_Striate_2_LH,-3.264,-102.381,2.251
28,642,VisCent_ExStr_8_LH,-27.044,-101.497,2.214
29,699,VisCent_ExStr_8_LH,-23.981,-101.570,-10.681
30,723,VisCent_ExStr_8_LH,-18.006,-101.729,-13.403
31,736,VisCent_ExStr_13_LH,-12.902,-99.887,21.574
32,751,VisCent_ExStr_13_LH,-17.871,-101.126,17.968
33,762,VisCent_ExStr_13_LH,-5.730,-100.606,16.849
34,791,VisCent_Striate_2_LH,-4.633,-101.467,10.538
35,834,VisCent_ExStr_8_LH,-29.306,-100.620,0.400
36,836,VisCent_Striate_2_LH,-6.838,-98.709,-0.990
37,859,VisCent_ExStr_8_LH,-26.999,-100.977,-7.168
38,905,VisCent_ExStr_8_LH,-17.881,-100.327,-15.367
39,915,VisCent_ExStr_13_LH,-10.962,-99.280,21.493
40,921,VisCent_ExStr_15_LH,-20.288,-99.461,20.487
41,930,VisCent_ExStr_15_LH,-16.712,-100.396,20.584
42,934,VisCent_ExStr_13_LH,-6.900,-100.237,19.297
43,952,VisCent_ExStr_11_LH,-21.586,-99.865,14.618
44,1017,VisCent_Striate_2_LH,-5.556,-100.294,0.667
45,1037,VisCent_Striate_2_LH,-6.499,-99.915,-4.818
46,1045,VisCent_ExStr_8_LH,-31.165,-99.447,-4.618
47,1051,VisCent_Striate_1_LH,-5.503,-102.036,-9.032
48,1073,VisCent_ExStr_8_LH,-9.188,-100.030,-12.477
49,1080,VisCent_ExStr_8_LH,-25.826,-100.191,-11.226
50,1081,VisCent_ExStr_8_LH,-11.653,-99.713,-15.163
51,1088,VisCent_ExStr_8_LH,-13.676,-99.144,-16.003
52,1107,VisCent_ExStr_8_LH,-20.707,-99.589,-15.933
53,1125,VisCent_ExStr_13_LH,-9.607,-98.770,22.887
54,1136,VisCent_ExStr_13_LH,-12.290,-98.516,20.487
55,1153,VisCent_ExStr_13_LH,-4.968,-99.465,17.230
56,1161,VisCent_ExStr_15_LH,-21.978,-99.049,14.977
57,1169,VisCent_ExStr_11_LH,-22.159,-97.580,16.002
58,1180,VisCent_ExStr_11_LH,-25.713,-99.608,14.066
59,1204,VisCent_Striate_2_LH,-3.922,-99.046,9.065
60,1231,VisCent_Striate_3_LH,-4.534,-99.781,2.487
61,1273,VisCent_ExStr_8_LH,-32.147,-98.493,-6.621
62,1274,VisCent_Striate_1_LH,-7.669,-99.721,-9.907
63,1276,VisCent_ExStr_8_LH,-29.427,-99.404,-8.733
64,1284,VisCent_ExStr_8_LH,-8.431,-98.218,-11.241
65,1308,VisCent_ExStr_8_LH,-13.349,-98.378,-16.666
66,1315,VisCent_ExStr_8_LH,-25.348,-98.605,-15.362
67,1331,VisCent_ExStr_13_LH,-12.580,-99.499,22.534
68,1345,VisCent_ExStr_15_LH,-17.817,-98.590,23.801
69,1349,VisCent_ExStr_13_LH,-12.343,-98.941,21.420
70,1367,VisCent_ExStr_13_LH,-7.946,-98.152,23.318
71,1373,VisCent_ExStr_13_LH,-5.193,-97.860,20.603
72,1444,VisCent_ExStr_11_LH,-32.538,-97.455,8.219
73,1458,VisCent_ExStr_8_LH,-33.720,-97.621,3.884
74,1526,VisCent_ExStr_8_LH,-11.882,-96.145,-14.312
75,1570,VisCent_ExStr_13_LH,-8.543,-98.209,24.002
76,1575,VisCent_ExStr_13_LH,-13.813,-98.488,25.262
77,1600,VisCent_ExStr_13_LH,-14.568,-97.390,21.407
78,1625,VisCent_ExStr_11_LH,-25.933,-97.787,18.519
79,1631,VisCent_ExStr_13_LH,-3.658,-96.619,16.336
80,1643,VisCent_ExStr_11_LH,-28.881,-97.519,15.108
81,1650,VisCent_ExStr_11_LH,-21.036,-96.591,13.064
82,1669,VisCent_ExStr_8_LH,-35.205,-95.583,7.848
83,1696,VisCent_ExStr_8_LH,-35.522,-96.557,-3.932
84,1698,VisCent_Striate_1_LH,-2.336,-100.519,-6.229
85,1734,VisCent_ExStr_8_LH,-32.669,-96.758,-11.528
86,1751,VisCent_ExStr_8_LH,-30.506,-96.505,-14.681
87,1765,VisCent_ExStr_8_LH,-26.584,-96.423,-17.545
88,1771,VisCent_ExStr_8_LH,-21.513,-96.537,-18.529
89,1776,VisCent_ExStr_13_LH,-10.334,-96.456,29.330
90,1778,VisCent_ExStr_13_LH,-12.908,-96.280,29.431
91,1797,VisCent_ExStr_13_LH,-7.415,-96.979,25.175
92,1802,VisCent_ExStr_15_LH,-19.306,-96.544,27.452
93,1811,VisCent_ExStr_15_LH,-23.559,-95.493,26.271
94,1813,VisCent_ExStr_13_LH,-7.681,-97.306,23.777
95,1829,VisCent_ExStr_13_LH,-6.031,-94.916,23.009
96,1835,VisCent_ExStr_13_LH,-4.170,-95.073,21.086
97,1867,VisCent_ExStr_11_LH,-31.525,-95.373,14.183
98,1868,VisCent_ExStr_13_LH,-2.166,-95.183,13.274
99,1882,VisCent_Striate_3_LH,-1.530,-94.781,7.401
100,1892,VisCent_ExStr_8_LH,-36.939,-94.378,5.939
101,1924,VisCent_Striate_1_LH,-1.486,-99.206,-8.325
102,1931,VisCent_Striate_1_LH,-4.319,-100.563,-11.479
103,1975,VisCent_ExStr_8_LH,-16.492,-95.229,-17.150
104,1988,VisCent_ExStr_8_LH,-24.663,-95.583,-18.850
105,1992,VisCent_ExStr_8_LH,-28.415,-94.027,-18.622
106,2013,VisCent_ExStr_13_LH,-13.671,-95.096,30.665
107,2015,VisCent_ExStr_15_LH,-15.607,-95.581,30.113
108,2019,VisCent_ExStr_15_LH,-19.970,-94.425,29.860
109,2039,VisCent_ExStr_13_LH,-5.940,-94.573,23.107
110,2054,VisCent_ExStr_15_LH,-27.342,-95.636,22.490
111,2065,VisCent_ExStr_15_LH,-30.297,-95.138,19.063
112,2088,VisCent_ExStr_11_LH,-29.954,-92.481,11.520
113,2098,VisCent_Striate_3_LH,-1.330,-94.281,6.925
114,2099,VisCent_ExStr_8_LH,-36.212,-93.545,9.160
115,2117,VisCent_ExStr_8_LH,-38.096,-93.380,0.401
116,2119,VisCent_ExStr_8_LH,-38.247,-93.281,-1.573
117,2128,VisCent_ExStr_8_LH,-38.743,-93.489,-4.519
118,2154,VisCent_ExStr_8_LH,-36.244,-94.578,-10.430
119,2168,VisCent_Striate_1_LH,-4.863,-96.485,-13.538
120,2190,VisCent_ExStr_8_LH,-33.301,-94.423,-15.265
121,2192,VisCent_ExStr_6_LH,-14.394,-93.443,-15.581
122,2209,VisCent_ExStr_8_LH,-26.047,-93.837,-19.129
123,2220,VisCent_ExStr_13_LH,-11.742,-93.904,33.100
124,2230,VisPeri_ExStrSup_6_LH,-13.633,-93.463,31.357
125,2238,VisCent_ExStr_13_LH,-7.236,-95.452,28.618
126,2239,VisCent_ExStr_15_LH,-22.282,-93.691,28.904
127,2241,VisPeri_ExStrSup_4_LH,-5.748,-94.521,26.260
128,2248,VisCent_ExStr_15_LH,-25.370,-93.667,27.086
129,2251,VisCent_ExStr_13_LH,-5.597,-92.428,23.298
130,2257,VisCent_ExStr_15_LH,-28.772,-93.493,24.994
131,2264,VisCent_ExStr_13_LH,-3.990,-92.566,22.388
132,2272,VisCent_ExStr_13_LH,-4.477,-93.274,23.224
133,2330,VisCent_ExStr_8_LH,-37.475,-92.020,7.265
134,2340,VisCent_ExStr_8_LH,-38.199,-92.267,4.455
135,2343,VisCent_Striate_3_LH,-1.063,-92.293,1.368
136,2350,VisCent_ExStr_8_LH,-36.424,-92.174,-0.428
137,2356,VisCent_Striate_3_LH,-1.221,-91.143,-2.561
138,2358,VisCent_ExStr_8_LH,-39.139,-92.679,-3.720
139,2366,VisCent_Striate_1_LH,-1.561,-92.982,-6.551
140,2367,VisCent_Striate_1_LH,-1.916,-94.629,-7.406
141,2388,VisCent_Striate_1_LH,-3.577,-96.839,-15.185
142,2402,VisCent_Striate_1_LH,-10.898,-95.119,-12.605
143,2416,VisCent_ExStr_6_LH,-15.223,-92.576,-13.659
144,2420,VisCent_ExStr_8_LH,-32.420,-93.464,-17.365
145,2445,VisPeri_ExStrSup_6_LH,-10.816,-92.514,34.496
146,2447,VisCent_ExStr_13_LH,-8.617,-93.529,33.214
147,2452,VisCent_ExStr_13_LH,-7.786,-94.105,31.610
148,2464,VisCent_ExStr_15_LH,-17.620,-91.066,30.388
149,2470,VisPeri_ExStrSup_6_LH,-13.794,-91.395,30.616
150,2484,VisCent_ExStr_15_LH,-23.413,-91.362,27.793
151,2486,VisCent_ExStr_15_LH,-25.160,-92.244,27.516
152,2489,VisPeri_ExStrSup_4_LH,-3.506,-92.269,23.575
153,2493,VisCent_ExStr_15_LH,-28.996,-92.541,25.657
154,2496,VisPeri_ExStrSup_4_LH,-5.383,-90.924,22.717
155,2511,VisCent_ExStr_15_LH,-32.541,-92.406,22.034
156,2536,VisCent_ExStr_12_LH,-31.136,-95.193,15.494
157,2539,VisCent_ExStr_12_LH,-34.443,-93.451,16.493
158,2562,VisCent_ExStr_13_LH,-1.013,-92.019,11.868
159,2565,VisCent_ExStr_12_LH,-32.700,-94.670,11.808
160,2569,VisCent_ExStr_11_LH,-27.942,-90.935,10.347
161,2581,VisCent_ExStr_11_LH,-32.179,-91.458,9.333
162,2594,VisCent_Striate_3_LH,-1.024,-92.089,6.073
163,2604,VisPeri_StriCal_3_LH,-6.507,-90.724,4.645
164,2606,VisCent_ExStr_8_LH,-36.543,-90.687,6.762
165,2672,VisCent_ExStr_8_LH,-35.905,-92.993,-14.011
166,2677,VisCent_Striate_1_LH,-8.661,-93.739,-15.445
167,2679,VisCent_ExStr_6_LH,-11.825,-93.904,-14.701
168,2699,VisCent_ExStr_6_LH,-16.866,-90.635,-17.578
169,2704,VisCent_ExStr_6_LH,-27.531,-90.905,-18.448
170,2710,VisCent_ExStr_8_LH,-20.752,-89.713,-18.918
171,2714,VisPeri_ExStrSup_6_LH,-8.124,-90.990,34.623
172,2717,VisPeri_ExStrSup_4_LH,-5.992,-91.493,32.405
173,2732,VisCent_ExStr_15_LH,-16.506,-90.147,29.888
174,2734,VisCent_ExStr_15_LH,-19.329,-90.735,29.606
175,2752,VisCent_ExStr_15_LH,-22.018,-90.458,27.461
176,2767,VisCent_ExStr_15_LH,-22.804,-90.102,26.495
177,2774,VisPeri_ExStrSup_4_LH,-3.572,-90.022,23.609
178,2776,VisCent_ExStr_13_LH,-6.375,-91.509,22.177
179,2785,VisPeri_ExStrSup_4_LH,-2.361,-91.133,23.766
180,2790,VisCent_ExStr_13_LH,-8.718,-90.902,20.170
181,2852,VisCent_ExStr_12_LH,-34.804,-94.066,10.717
182,2909,VisCent_ExStr_10_LH,-35.308,-89.384,5.071
183,2922,VisCent_ExStr_10_LH,-38.603,-92.995,1.945
184,2938,VisCent_ExStr_7_LH,-39.598,-92.773,-1.761
185,2939,VisCent_Striate_3_LH,-1.242,-88.836,-1.459
186,2956,VisCent_ExStr_8_LH,-35.196,-89.291,-3.909
187,2963,VisCent_ExStr_8_LH,-39.499,-91.179,-6.253
188,2975,VisCent_ExStr_8_LH,-38.202,-92.261,-11.433
189,2992,VisCent_Striate_1_LH,-4.992,-94.385,-18.040
190,3002,VisCent_Striate_1_LH,-8.327,-92.325,-16.487
191,3005,VisCent_ExStr_6_LH,-23.745,-89.427,-14.793
192,3020,VisCent_ExStr_6_LH,-24.396,-89.549,-18.165
193,3022,VisCent_ExStr_6_LH,-27.464,-90.595,-17.027
194,3027,VisCent_ExStr_6_LH,-19.555,-88.685,-18.412
195,3051,VisPeri_ExStrSup_6_LH,-13.659,-92.305,35.296
196,3060,VisPeri_ExStrSup_6_LH,-17.080,-92.398,35.600
197,3077,VisPeri_ExStrSup_6_LH,-17.995,-91.935,32.953
198,3080,VisPeri_ExStrSup_6_LH,-21.058,-91.856,32.694
199,3098,VisPeri_ExStrSup_6_LH,-12.328,-90.755,32.551
200,3112,VisPeri_ExStrSup_6_LH,-13.968,-89.219,27.819
201,3116,VisCent_ExStr_15_LH,-17.444,-88.275,27.666
202,3128,VisPeri_ExStrSup_4_LH,-2.416,-90.923,24.405
203,3132,VisCent_ExStr_15_LH,-27.537,-90.353,26.248
204,3134,VisCent_ExStr_15_LH,-29.725,-90.679,25.458
205,3153,VisCent_ExStr_15_LH,-20.813,-88.602,22.626
206,3157,VisCent_ExStr_15_LH,-24.632,-88.561,23.955
207,3160,VisPeri_ExStrSup_4_LH,-1.368,-90.178,22.166
208,3168,VisCent_ExStr_15_LH,-33.116,-90.525,22.235
209,3195,VisCent_ExStr_12_LH,-28.439,-91.210,12.159
210,3204,VisCent_ExStr_12_LH,-28.446,-90.945,10.978
211,3208,VisCent_ExStr_12_LH,-30.477,-92.596,10.572
212,3211,VisCent_ExStr_14_LH,-38.792,-91.775,11.140
213,3230,VisCent_ExStr_12_LH,-37.354,-92.610,8.155
214,3236,VisPeri_StriCal_3_LH,-7.698,-88.501,7.951
215,3257,VisCent_ExStr_10_LH,-31.708,-88.892,7.038
216,3272,VisCent_ExStr_10_LH,-34.258,-88.633,4.844
217,3289,VisCent_ExStr_10_LH,-40.349,-91.583,4.448
218,3299,VisCent_ExStr_10_LH,-38.244,-92.279,4.014
219,3303,VisPeri_StriCal_3_LH,-4.251,-87.984,0.872
220,3307,VisCent_ExStr_10_LH,-34.397,-90.198,1.539
221,3309,VisCent_ExStr_10_LH,-37.216,-92.095,1.811
222,3319,VisCent_ExStr_7_LH,-41.301,-91.694,-0.519
223,3331,VisPeri_StriCal_3_LH,-1.742,-89.004,-0.753
224,3346,VisCent_ExStr_8_LH,-32.730,-88.958,-3.484
225,3350,VisCent_ExStr_7_LH,-39.579,-92.245,-4.623
226,3366,VisCent_ExStr_8_LH,-37.388,-89.521,-5.798
227,3379,VisCent_ExStr_8_LH,-38.822,-90.409,-7.850
228,3388,VisCent_Striate_1_LH,-2.073,-90.821,-13.785
229,3413,VisCent_Striate_1_LH,-5.162,-90.550,-16.868
230,3414,VisCent_Striate_1_LH,-6.621,-90.718,-17.057
231,3455,VisCent_ExStr_6_LH,-21.696,-87.871,-18.598
232,3469,VisPeri_ExStrSup_6_LH,-12.579,-91.574,38.746
233,3476,VisPeri_ExStrSup_6_LH,-10.132,-91.842,36.620
234,3480,VisPeri_ExStrSup_6_LH,-16.921,-91.534,38.310
235,3489,VisPeri_ExStrSup_6_LH,-11.161,-92.539,34.989
236,3499,VisPeri_ExStrSup_6_LH,-20.943,-91.562,35.975
237,3507,VisPeri_ExStrSup_6_LH,-15.030,-91.276,33.107
238,3531,VisCent_ExStr_17_LH,-24.548,-91.539,31.439
239,3536,VisPeri_ExStrSup_6_LH,-10.436,-89.466,33.159
240,3552,VisCent_ExStr_17_LH,-25.153,-90.584,29.628
241,3572,VisCent_ExStr_15_LH,-15.656,-87.629,26.281
242,3584,VisCent_ExStr_15_LH,-19.734,-87.556,23.949
243,3588,VisCent_ExStr_15_LH,-29.717,-88.927,24.630
244,3623,VisPeri_ExStrSup_4_LH,-0.956,-89.257,18.634
245,3630,VisCent_ExStr_16_LH,-35.945,-89.691,19.063
246,3660,VisCent_ExStr_12_LH,-30.841,-90.389,9.165
247,3697,VisPeri_StriCal_3_LH,-6.392,-88.974,4.858
248,3703,VisCent_ExStr_10_LH,-28.562,-87.669,7.697
249,3715,VisPeri_StriCal_3_LH,-5.367,-87.613,2.843
250,3720,VisCent_ExStr_10_LH,-36.746,-90.174,5.961
251,3722,VisCent_ExStr_10_LH,-38.624,-90.564,6.451
252,3736,VisCent_ExStr_10_LH,-35.595,-89.618,4.703
253,3741,VisCent_ExStr_7_LH,-43.422,-89.546,3.776
254,3769,VisCent_ExStr_10_LH,-33.002,-88.932,-2.325
255,3789,VisCent_ExStr_8_LH,-31.438,-89.006,-4.850
256,3806,VisCent_ExStr_8_LH,-34.369,-88.330,-5.275
257,3829,VisCent_ExStr_5_LH,-40.594,-90.454,-12.067
258,3832,VisCent_ExStr_6_LH,-24.537,-89.567,-12.999
259,3859,VisCent_ExStr_5_LH,-35.713,-91.204,-17.563
260,3863,VisCent_Striate_1_LH,-7.027,-86.479,-17.189
261,3896,VisCent_ExStr_6_LH,-28.597,-90.639,-18.708
262,3900,VisPeri_ExStrSup_6_LH,-11.072,-89.217,42.139
263,3902,VisPeri_ExStrSup_6_LH,-13.222,-89.571,42.344
264,3912,VisPeri_ExStrSup_6_LH,-8.499,-89.172,39.102
265,3950,VisPeri_ExStrSup_6_LH,-12.346,-90.795,32.665
266,3953,VisCent_ExStr_17_LH,-27.556,-89.577,34.508
267,3969,VisPeri_ExStrSup_6_LH,-7.337,-88.763,34.873
268,3992,VisPeri_ExStrSup_4_LH,-2.335,-88.445,30.485
269,4014,VisCent_ExStr_17_LH,-26.377,-88.762,27.622
270,4020,VisPeri_ExStrSup_6_LH,-13.353,-88.247,27.419
271,4033,VisPeri_ExStrSup_4_LH,-1.039,-87.702,22.429
272,4056,VisCent_ExStr_15_LH,-31.840,-88.140,22.213
273,4069,VisCent_ExStr_15_LH,-21.495,-86.532,19.438
274,4101,VisCent_ExStr_14_LH,-41.510,-89.403,12.861
275,4108,VisCent_ExStr_14_LH,-41.674,-89.665,10.467
276,4131,VisCent_ExStr_12_LH,-32.138,-88.837,6.913
277,4134,VisCent_ExStr_12_LH,-36.196,-89.834,6.198
278,4138,VisCent_ExStr_12_LH,-40.128,-89.865,7.169
279,4174,VisPeri_StriCal_3_LH,-6.979,-86.817,4.866
280,4177,VisCent_ExStr_10_LH,-31.248,-86.994,5.787
281,4221,VisCent_ExStr_7_LH,-43.503,-89.698,-1.709
282,4242,VisCent_ExStr_8_LH,-35.437,-89.227,-4.316
283,4260,VisCent_ExStr_7_LH,-39.579,-91.515,-6.659
284,4274,VisCent_ExStr_7_LH,-42.448,-90.015,-7.233
285,4297,VisCent_Striate_1_LH,-1.279,-87.915,-11.522
286,4303,VisCent_Striate_1_LH,-3.598,-86.595,-15.605
287,4311,VisCent_Striate_1_LH,-4.809,-85.764,-16.406
288,4313,VisCent_ExStr_6_LH,-24.134,-89.516,-14.837
289,4349,VisCent_ExStr_5_LH,-35.896,-89.507,-19.425
290,4353,VisCent_ExStr_6_LH,-17.811,-89.786,-18.142
291,4356,VisCent_ExStr_6_LH,-25.824,-90.255,-18.688
292,4361,VisCent_ExStr_6_LH,-32.219,-89.691,-18.879
293,4421,VisPeri_ExStrSup_6_LH,-6.917,-88.895,35.372
294,4423,VisPeri_ExStrSup_6_LH,-8.225,-90.272,34.829
295,4424,DorsAttnA_SPL_2_LH,-25.475,-89.449,37.286
296,4428,VisPeri_ExStrSup_6_LH,-8.554,-89.464,34.701
297,4438,VisCent_ExStr_17_LH,-28.550,-88.462,34.513
298,4453,VisPeri_ExStrSup_6_LH,-11.496,-88.314,31.324
299,4458,VisCent_ExStr_17_LH,-28.831,-88.487,31.902
300,4464,VisPeri_ExStrSup_6_LH,-13.845,-88.040,30.595
301,4487,VisPeri_ExStrSup_6_LH,-18.241,-88.581,27.717
302,4503,VisCent_ExStr_17_LH,-20.825,-88.857,26.730
303,4520,DorsAttnA_ParOcc_4_LH,-32.347,-89.360,27.006
304,4521,DorsAttnA_ParOcc_4_LH,-33.272,-89.728,27.004
305,4543,DorsAttnA_ParOcc_4_LH,-34.246,-89.816,23.899
306,4554,DorsAttnA_ParOcc_4_LH,-37.803,-89.438,22.941
307,4561,VisCent_ExStr_14_LH,-37.525,-89.733,21.339
308,4603,VisCent_ExStr_16_LH,-33.463,-87.169,18.412
309,4604,VisCent_ExStr_14_LH,-37.984,-89.788,17.077
310,4611,VisCent_ExStr_14_LH,-39.943,-89.386,16.370
311,4646,VisPeri_StriCal_3_LH,-8.759,-86.781,8.085
312,4654,VisCent_ExStr_12_LH,-27.932,-88.062,8.466
313,4669,VisCent_ExStr_12_LH,-33.385,-87.256,6.216
314,4687,VisPeri_StriCal_3_LH,-7.522,-86.593,5.720
315,4688,VisPeri_StriCal_3_LH,-9.451,-86.064,7.353
316,4692,VisCent_Striate_3_LH,-0.972,-86.119,4.813
317,4711,VisCent_ExStr_10_LH,-42.773,-88.558,7.851
318,4717,VisPeri_StriCal_5_LH,-3.824,-85.535,2.495
319,4796,VisCent_ExStr_8_LH,-37.002,-89.182,-5.717
320,4844,VisCent_Striate_1_LH,-1.613,-87.148,-12.671
321,4883,VisCent_ExStr_5_LH,-38.423,-88.496,-19.315
322,4914,VisCent_ExStr_6_LH,-34.273,-88.844,-18.695
323,4923,VisPeri_ExStrSup_6_LH,-13.985,-86.865,45.551
324,4926,VisPeri_ExStrSup_7_LH,-17.696,-87.505,45.282
325,4959,VisPeri_ExStrSup_6_LH,-6.908,-86.689,41.818
326,4975,VisPeri_ExStrSup_6_LH,-19.989,-89.602,40.522
327,4979,VisPeri_ExStrSup_4_LH,-5.506,-87.246,39.063
328,5004,VisPeri_ExStrSup_4_LH,-4.062,-87.965,35.172
329,5026,VisCent_ExStr_17_LH,-29.182,-86.721,31.174
330,5039,DefaultC_IPL_2_LH,-32.416,-88.512,31.356
331,5042,DefaultC_IPL_2_LH,-34.303,-88.450,31.568
332,5051,VisPeri_ExStrSup_6_LH,-15.555,-87.518,28.902
333,5055,DefaultC_IPL_2_LH,-33.217,-88.840,30.692
334,5066,VisCent_ExStr_17_LH,-28.409,-87.505,27.864
335,5119,VisCent_ExStr_17_LH,-20.151,-87.991,24.208
336,5128,DorsAttnA_ParOcc_4_LH,-31.982,-88.005,24.329
337,5145,DorsAttnA_ParOcc_4_LH,-33.779,-88.554,21.827
338,5170,VisCent_ExStr_15_LH,-24.549,-83.751,21.669
339,5175,VisCent_ExStr_14_LH,-36.644,-89.238,18.116
340,5188,VisCent_ExStr_14_LH,-41.786,-87.872,18.355
341,5197,VisCent_ExStr_16_LH,-31.986,-83.966,19.312
342,5206,VisCent_ExStr_17_LH,-21.361,-85.406,19.083
343,5217,VisCent_ExStr_16_LH,-33.417,-85.360,16.720
344,5244,VisPeri_StriCal_3_LH,-9.839,-85.477,8.427
345,5312,VisCent_ExStr_7_LH,-46.062,-86.657,6.028
346,5328,VisPeri_StriCal_3_LH,-10.121,-84.615,3.848
347,5352,VisPeri_StriCal_3_LH,-8.024,-84.962,1.101
348,5355,VisCent_ExStr_7_LH,-46.461,-86.565,0.205
349,5359,VisPeri_StriCal_3_LH,-3.765,-87.597,1.115
350,5379,VisCent_ExStr_7_LH,-45.885,-86.827,-2.814
351,5436,VisCent_ExStr_8_LH,-37.093,-88.417,-6.744
352,5450,VisCent_ExStr_5_LH,-43.643,-87.380,-12.982
353,5471,VisCent_ExStr_6_LH,-22.207,-88.401,-14.875
354,5491,VisCent_ExStr_6_LH,-22.197,-87.824,-18.600
355,5500,VisCent_ExStr_6_LH,-14.864,-86.734,-18.747
356,5512,VisCent_ExStr_5_LH,-36.208,-87.102,-18.925
357,5514,VisCent_ExStr_6_LH,-25.720,-86.820,-19.787
358,5523,VisPeri_ExStrSup_7_LH,-20.461,-86.338,46.272
359,5531,VisPeri_ExStrSup_7_LH,-16.131,-85.635,46.505
360,5542,DorsAttnA_SPL_2_LH,-22.975,-87.502,43.554
361,5546,VisPeri_ExStrSup_7_LH,-6.600,-84.827,42.984
362,5560,DorsAttnA_SPL_2_LH,-27.526,-86.503,41.257
363,5568,VisPeri_ExStrSup_4_LH,-4.296,-85.939,39.427
364,5570,DorsAttnA_SPL_2_LH,-28.325,-86.295,39.452
365,5620,DefaultC_IPL_2_LH,-35.813,-87.678,31.900
366,5626,VisPeri_ExStrSup_6_LH,-12.058,-87.802,29.756
367,5635,VisPeri_ExStrSup_4_LH,-0.991,-85.410,29.289
368,5682,VisCent_ExStr_17_LH,-26.534,-86.057,24.707
369,5738,VisCent_ExStr_17_LH,-19.024,-86.301,21.611
370,5744,VisCent_ExStr_14_LH,-42.866,-86.492,21.171
371,5756,VisCent_ExStr_16_LH,-28.241,-83.280,20.222
372,5776,VisCent_ExStr_17_LH,-22.532,-84.015,19.457
373,5785,VisPeri_ExStrSup_4_LH,-0.845,-84.674,15.787
374,5792,VisCent_ExStr_14_LH,-44.505,-86.523,15.084
375,5799,VisCent_ExStr_14_LH,-46.719,-84.504,13.129
376,5813,VisCent_ExStr_16_LH,-34.589,-85.066,15.682
377,5816,VisCent_ExStr_16_LH,-35.734,-86.432,15.927
378,5820,VisCent_ExStr_14_LH,-45.728,-85.422,9.743
379,5850,VisCent_ExStr_14_LH,-38.542,-85.288,6.892
380,5875,VisCent_ExStr_7_LH,-45.288,-86.122,9.173
381,5890,VisPeri_StriCal_3_LH,-13.016,-83.891,5.439
382,5894,VisCent_ExStr_10_LH,-40.679,-85.612,7.514
383,5926,VisCent_ExStr_10_LH,-30.391,-84.630,4.413
384,5930,VisCent_ExStr_10_LH,-32.534,-85.082,5.320
385,5941,VisPeri_StriCal_3_LH,-1.780,-86.438,1.791
386,5958,VisPeri_StriCal_3_LH,-6.240,-86.355,-1.034
387,5966,VisPeri_StriCal_3_LH,-0.796,-85.441,-2.262
388,5972,VisCent_ExStr_8_LH,-33.274,-86.827,-4.532
389,6021,VisCent_ExStr_5_LH,-45.789,-86.478,-9.813
390,6063,VisCent_ExStr_6_LH,-17.655,-86.934,-18.995
391,6070,VisCent_ExStr_6_LH,-25.381,-84.790,-19.669
392,6082,VisPeri_ExStrSup_7_LH,-17.660,-84.141,47.040
393,6092,VisPeri_ExStrSup_7_LH,-14.148,-84.467,46.040
394,6102,VisPeri_ExStrSup_7_LH,-10.042,-83.521,44.598
395,6111,VisPeri_ExStrSup_7_LH,-5.620,-83.436,42.562
396,6114,VisPeri_ExStrSup_4_LH,-3.534,-83.636,40.551
397,6123,DorsAttnA_SPL_2_LH,-28.517,-85.196,37.727
398,6128,VisPeri_ExStrSup_4_LH,-2.067,-85.029,35.580
399,6131,DefaultC_IPL_2_LH,-33.188,-86.458,36.355
400,6149,DefaultC_IPL_2_LH,-31.178,-86.686,32.745
401,6154,VisCent_ExStr_17_LH,-29.098,-83.823,31.168
