vertex,fsaverage_vertex,parcel,mni152_r,mni152_a,mni152_s
19227,248801,SomMotB_S2_6_RH,62.548,3.163,8.463
19228,248840,SalVentAttnA_FrOper_3_RH,53.684,-1.093,3.837
19229,248851,Background+FreeSurfer_Defined_Medial_Wall,0.820,1.354,6.342
19230,248922,TempPar_1_RH,62.668,0.142,-10.638
19231,248925,Background+FreeSurfer_Defined_Medial_Wall,1.149,0.888,-6.688
19232,248928,TempPar_1_RH,61.230,0.617,-12.010
19233,248934,TempPar_1_RH,58.793,0.613,-13.239
19234,248948,SalVentAttnA_Ins_2_RH,46.925,2.004,-9.352
19235,248954,SalVentAttnA_Ins_1_RH,42.588,1.142,-12.028
19236,248956,Background+FreeSurfer_Defined_Medial_Wall,24.879,2.521,-16.901
19237,248969,Background+FreeSurfer_Defined_Medial_Wall,23.213,2.428,-18.355
19238,248970,Background+FreeSurfer_Defined_Medial_Wall,23.250,1.363,-16.577
19239,248972,Background+FreeSurfer_Defined_Medial_Wall,21.090,0.419,-14.475
19240,248974,Background+FreeSurfer_Defined_Medial_Wall,19.142,0.289,-14.021
19241,248986,TempPar_1_RH,53.838,0.437,-15.742
19242,248992,Background+FreeSurfer_Defined_Medial_Wall,27.073,4.629,-20.072
19243,248994,Background+FreeSurfer_Defined_Medial_Wall,25.173,4.142,-20.034
19244,248995,Background+FreeSurfer_Defined_Medial_Wall,25.555,0.278,-14.159
19245,248996,Background+FreeSurfer_Defined_Medial_Wall,24.734,0.240,-13.756
19246,249004,Background+FreeSurfer_Defined_Medial_Wall,1.637,1.479,-14.373
19247,249021,TempPar_1_RH,53.340,0.054,-18.150
19248,249037,Background+FreeSurfer_Defined_Medial_Wall,29.926,2.307,-18.702
19249,249047,Background+FreeSurfer_Defined_Medial_Wall,33.579,0.840,-17.730
19250,249076,Background+FreeSurfer_Defined_Medial_Wall,34.235,1.826,-19.749
19251,249085,SalVentAttnA_Ins_1_RH,41.344,3.369,-17.843
19252,249090,DefaultA_Temp_1_RH,63.482,4.347,-18.493
19253,249091,DefaultA_Temp_1_RH,61.159,5.896,-17.305
19254,249092,DefaultA_Temp_1_RH,58.327,4.854,-16.683
19255,249095,DefaultB_AntTemp_3_RH,49.679,1.435,-22.385
19256,249101,Background+FreeSurfer_Defined_Medial_Wall,32.446,1.628,-21.161
19257,249104,DefaultA_Temp_1_RH,63.747,3.869,-21.013
19258,249111,Background+FreeSurfer_Defined_Medial_Wall,30.913,1.820,-21.824
19259,249113,Background+FreeSurfer_Defined_Medial_Wall,31.039,1.150,-23.017
19260,249124,DefaultB_AntTemp_2_RH,62.556,3.722,-26.468
19261,249129,Background+FreeSurfer_Defined_Medial_Wall,31.771,0.924,-25.549
19262,249141,Background+FreeSurfer_Defined_Medial_Wall,30.063,1.072,-26.043
19263,249163,LimbicA_TempPole_5_RH,24.430,1.461,-27.562
19264,249173,LimbicA_TempPole_5_RH,23.245,1.210,-29.605
19265,249174,DefaultB_AntTemp_1_RH,58.949,-0.193,-34.790
19266,249181,LimbicA_TempPole_5_RH,17.006,3.385,-30.829
19267,249185,DefaultB_AntTemp_1_RH,53.945,-1.713,-35.367
19268,249189,DefaultB_AntTemp_1_RH,49.287,-1.296,-34.126
19269,249211,LimbicA_TempPole_5_RH,20.924,0.733,-39.111
19270,249226,LimbicA_TempPole_1_RH,41.617,3.675,-38.349
19271,249227,LimbicA_TempPole_1_RH,40.685,4.120,-38.828
19272,249259,LimbicA_TempPole_1_RH,41.679,6.374,-44.129
19273,249268,LimbicA_TempPole_1_RH,42.069,6.660,-45.852
19274,249270,LimbicA_TempPole_1_RH,39.731,6.384,-45.890
19275,249275,LimbicA_TempPole_5_RH,24.031,1.138,-42.191
19276,249276,LimbicA_TempPole_1_RH,45.533,4.876,-47.492
19277,249282,LimbicA_TempPole_1_RH,23.513,2.073,-43.892
19278,249289,LimbicA_TempPole_1_RH,22.511,1.810,-48.208
19279,249292,LimbicA_TempPole_1_RH,27.665,0.429,-51.067
19280,249293,LimbicA_TempPole_1_RH,26.358,1.353,-50.783
19281,249296,SalVentAttnA_FrMed_6_RH,8.495,1.662,76.589
19282,249308,SalVentAttnA_FrMed_6_RH,5.295,1.530,75.540
19283,249319,SalVentAttnA_FrMed_7_RH,23.360,3.018,73.534
19284,249332,SalVentAttnA_FrMed_7_RH,21.248,4.163,73.514
19285,249366,ContB_PFCld_5_RH,36.300,1.554,65.224
19286,249385,DorsAttnB_FEF_3_RH,22.444,3.213,59.957
19287,249387,ContB_PFCld_5_RH,41.287,2.897,61.997
19288,249396,ContB_PFCld_5_RH,41.751,1.621,61.180
19289,249404,ContA_PFCd_1_RH,29.301,-0.281,59.793
19290,249418,ContB_PFCld_5_RH,45.671,1.203,57.798
19291,249425,DorsAttnB_FEF_3_RH,22.163,2.775,55.726
19292,249435,SalVentAttnA_FrMed_5_RH,2.676,1.645,55.966
19293,249441,DorsAttnB_FEF_1_RH,49.085,1.773,54.739
19294,249447,SalVentAttnA_PrC_1_RH,53.407,2.926,52.596
19295,249454,ContA_PFCd_1_RH,26.512,0.958,51.777
19296,249457,SalVentAttnA_FrMed_5_RH,1.144,1.516,51.114
19297,249464,SalVentAttnA_FrMed_5_RH,3.082,-0.835,49.442
19298,249471,SalVentAttnA_FrMed_5_RH,3.542,0.240,47.838
19299,249472,SalVentAttnA_FrMed_5_RH,2.116,1.136,48.347
19300,249473,SalVentAttnA_FrMed_5_RH,1.263,2.444,49.237
19301,249522,SalVentAttnA_PrC_1_RH,57.744,5.101,42.791
19302,249537,SalVentAttnA_PrC_1_RH,41.631,3.744,41.439
19303,249557,SalVentAttnA_PrC_1_RH,54.760,6.635,40.465
19304,249572,SalVentAttnA_FrMed_3_RH,5.093,3.016,44.011
19305,249575,SomMotB_Cent_3_RH,60.857,3.670,40.138
19306,249593,SalVentAttnA_FrMed_1_RH,1.109,2.632,40.737
19307,249610,SalVentAttnA_PrC_1_RH,50.583,4.861,37.531
19308,249651,ContA_Cingm_1_RH,4.765,1.825,30.500
19309,249677,SomMotB_Cent_1_RH,61.842,0.142,26.600
19310,249718,SomMotB_Cent_1_RH,65.753,1.245,16.654
19311,249781,SalVentAttnA_FrOper_3_RH,44.600,1.040,10.442
19312,249805,SalVentAttnA_FrOper_3_RH,46.211,1.642,6.342
19313,249814,SalVentAttnA_Ins_5_RH,36.018,3.926,9.262
19314,249828,SalVentAttnA_FrOper_3_RH,52.200,-0.368,2.260
19315,249838,SalVentAttnA_FrOper_3_RH,49.424,0.660,1.321
19316,249842,SalVentAttnA_Ins_5_RH,38.425,3.796,6.544
19317,249850,SalVentAttnA_Ins_5_RH,44.825,1.910,3.955
19318,249857,SalVentAttnA_Ins_5_RH,43.863,3.831,3.481
19319,249858,Background+FreeSurfer_Defined_Medial_Wall,1.904,1.409,1.612
19320,249862,Background+FreeSurfer_Defined_Medial_Wall,0.117,3.190,1.070
19321,249879,SomMotB_Aud_1_RH,63.196,4.272,0.015
19322,249881,SomMotB_Aud_1_RH,60.597,4.569,0.575
19323,249883,SalVentAttnA_Ins_3_RH,45.287,1.370,-2.711
19324,249888,SomMotB_Aud_1_RH,64.092,3.920,-1.325
19325,249893,SalVentAttnA_Ins_3_RH,43.127,1.000,-4.925
19326,249901,Background+FreeSurfer_Defined_Medial_Wall,0.322,2.295,-3.891
19327,249902,SomMotB_Aud_1_RH,64.480,2.825,-4.378
19328,249905,SomMotB_Aud_1_RH,51.903,3.499,-2.251
19329,249945,SalVentAttnA_Ins_1_RH,42.755,1.618,-10.801
19330,249963,Background+FreeSurfer_Defined_Medial_Wall,26.966,4.292,-17.651
19331,249981,SalVentAttnA_Ins_1_RH,41.371,2.636,-14.769
19332,249982,Background+FreeSurfer_Defined_Medial_Wall,28.187,4.042,-17.156
19333,249985,Background+FreeSurfer_Defined_Medial_Wall,26.154,4.713,-19.244
19334,249992,Background+FreeSurfer_Defined_Medial_Wall,8.196,2.109,-14.234
19335,250005,Background+FreeSurfer_Defined_Medial_Wall,27.142,4.392,-18.480
19336,250016,Background+FreeSurfer_Defined_Medial_Wall,27.720,4.189,-19.375
19337,250023,Background+FreeSurfer_Defined_Medial_Wall,33.891,1.811,-18.792
19338,250024,Background+FreeSurfer_Defined_Medial_Wall,27.559,3.619,-20.313
19339,250034,Background+FreeSurfer_Defined_Medial_Wall,27.055,4.386,-20.535
19340,250041,Background+FreeSurfer_Defined_Medial_Wall,2.207,1.597,-18.072
19341,250046,Background+FreeSurfer_Defined_Medial_Wall,6.997,1.954,-18.490
19342,250067,DefaultA_Temp_1_RH,56.473,6.665,-19.224
19343,250068,DefaultA_Temp_1_RH,55.395,5.325,-19.794
19344,250090,DefaultA_Temp_1_RH,53.491,3.992,-23.617
19345,250094,Background+FreeSurfer_Defined_Medial_Wall,29.520,3.183,-21.767
19346,250095,Background+FreeSurfer_Defined_Medial_Wall,28.716,2.710,-21.487
19347,250103,LimbicA_TempPole_5_RH,28.105,4.005,-21.484
19348,250106,LimbicA_TempPole_5_RH,27.338,2.673,-26.367
19349,250120,LimbicA_TempPole_5_RH,20.067,4.592,-21.780
19350,250123,DefaultB_AntTemp_3_RH,52.002,4.753,-26.453
19351,250129,LimbicA_TempPole_5_RH,18.320,4.611,-22.342
19352,250130,LimbicA_TempPole_5_RH,17.718,5.368,-24.145
19353,250136,LimbicA_TempPole_5_RH,23.422,1.722,-28.222
19354,250137,LimbicA_TempPole_5_RH,16.357,4.244,-25.224
19355,250155,DefaultB_AntTemp_1_RH,57.153,-0.096,-36.588
19356,250156,DefaultB_AntTemp_1_RH,54.721,-0.750,-37.295
19357,250157,DefaultB_AntTemp_1_RH,53.127,-0.915,-36.990
19358,250175,LimbicA_TempPole_5_RH,19.737,3.107,-37.376
19359,250194,LimbicA_TempPole_5_RH,23.273,0.191,-41.086
19360,250202,LimbicA_TempPole_1_RH,38.995,4.295,-40.271
19361,250225,LimbicA_TempPole_1_RH,38.905,4.092,-48.562
19362,250230,LimbicA_TempPole_1_RH,34.878,3.024,-50.531
19363,250231,LimbicA_TempPole_1_RH,23.639,3.008,-48.897
19364,250233,LimbicA_TempPole_1_RH,31.382,2.479,-51.239
19365,250286,SalVentAttnA_FrMed_6_RH,2.328,2.961,71.743
19366,250289,SalVentAttnA_FrMed_7_RH,19.500,5.681,72.617
19367,250309,SalVentAttnB_PFCd_1_RH,27.398,4.462,68.236
19368,250325,SalVentAttnA_FrMed_7_RH,14.817,5.388,67.703
19369,250373,SalVentAttnA_FrMed_5_RH,1.843,4.079,59.688
19370,250387,ContB_PFCld_5_RH,46.364,3.327,58.043
19371,250400,ContA_PFCd_1_RH,27.731,2.296,56.155
19372,250413,SalVentAttnA_FrMed_5_RH,1.627,1.819,54.273
19373,250426,DorsAttnB_FEF_3_RH,22.996,3.370,51.930
19374,250429,SalVentAttnA_PrC_1_RH,54.762,4.886,49.710
19375,250439,ContA_PFCd_1_RH,25.909,1.627,50.555
19376,250455,SalVentAttnA_FrMed_3_RH,3.344,2.766,46.025
19377,250456,SalVentAttnA_FrMed_3_RH,2.319,3.884,46.513
19378,250465,SalVentAttnA_FrMed_3_RH,8.343,2.021,43.801
19379,250467,SalVentAttnA_FrMed_3_RH,7.160,3.238,44.062
19380,250498,SalVentAttnA_PrC_1_RH,55.228,6.781,42.856
19381,250569,ContA_PFCl_7_RH,38.564,2.827,34.180
19382,250572,SomMotB_Cent_3_RH,63.396,2.916,34.331
19383,250578,SalVentAttnA_FrMed_1_RH,0.841,3.169,33.229
19384,250598,SomMotB_Cent_3_RH,63.878,2.400,30.529
19385,250624,SomMotB_Cent_1_RH,63.741,1.669,28.327
19386,250668,ContA_PFCl_6_RH,47.546,5.773,22.244
19387,250704,SomMotB_S2_6_RH,65.725,3.840,14.033
19388,250714,SomMotB_S2_6_RH,59.293,3.494,13.272
19389,250728,SomMotB_S2_6_RH,57.866,2.403,12.836
19390,250737,SomMotB_S2_6_RH,63.779,4.412,10.442
19391,250738,SomMotB_S2_6_RH,57.213,1.938,11.405
19392,250773,SalVentAttnA_FrOper_3_RH,58.015,0.913,5.632
19393,250787,SalVentAttnA_FrOper_3_RH,57.012,1.321,3.704
19394,250800,SalVentAttnA_Ins_5_RH,42.634,4.305,3.854
19395,250813,SalVentAttnA_Ins_5_RH,45.269,3.132,1.710
19396,250825,Background+FreeSurfer_Defined_Medial_Wall,0.009,3.579,-1.017
19397,250828,SalVentAttnA_Ins_3_RH,45.787,2.516,-2.950
19398,250836,SomMotB_Aud_1_RH,59.330,5.385,-0.220
19399,250848,SomMotB_Aud_1_RH,55.895,4.371,-1.869
19400,250862,SomMotB_Aud_1_RH,63.555,5.251,-5.115
19401,250875,Background+FreeSurfer_Defined_Medial_Wall,0.750,3.847,-5.916
19402,250887,SalVentAttnA_Ins_3_RH,41.759,3.399,-9.144
19403,250896,TempPar_1_RH,55.438,2.539,-13.057
19404,250898,SalVentAttnA_Ins_1_RH,41.490,3.640,-11.489
19405,250902,TempPar_1_RH,54.516,2.134,-13.806
19406,250908,Background+FreeSurfer_Defined_Medial_Wall,24.576,2.638,-14.765
19407,250928,Background+FreeSurfer_Defined_Medial_Wall,21.265,2.329,-13.770
19408,250958,Background+FreeSurfer_Defined_Medial_Wall,12.135,2.562,-14.323
19409,250962,Background+FreeSurfer_Defined_Medial_Wall,5.159,3.195,-14.360
19410,250970,Background+FreeSurfer_Defined_Medial_Wall,6.651,2.645,-15.021
19411,250989,TempPar_1_RH,53.405,2.065,-18.917
19412,251006,SalVentAttnA_Ins_1_RH,39.775,5.763,-18.145
19413,251007,Background+FreeSurfer_Defined_Medial_Wall,27.077,4.961,-20.398
19414,251024,Background+FreeSurfer_Defined_Medial_Wall,4.061,2.225,-18.212
19415,251037,Background+FreeSurfer_Defined_Medial_Wall,28.008,3.885,-21.390
19416,251038,Background+FreeSurfer_Defined_Medial_Wall,28.357,5.181,-21.296
19417,251039,DefaultA_Temp_1_RH,61.109,7.429,-20.055
19418,251042,DefaultB_AntTemp_3_RH,49.179,2.681,-23.190
19419,251053,DefaultA_Temp_1_RH,59.450,8.433,-19.824
19420,251054,DefaultA_Temp_1_RH,58.113,7.498,-19.024
19421,251063,DefaultA_Temp_1_RH,61.381,7.474,-23.322
19422,251070,DefaultA_Temp_1_RH,57.115,10.383,-22.936
19423,251071,DefaultA_Temp_1_RH,55.837,9.880,-23.174
19424,251072,DefaultB_AntTemp_1_RH,54.675,8.668,-23.465
19425,251087,DefaultB_AntTemp_1_RH,54.526,10.772,-25.419
19426,251088,DefaultB_AntTemp_1_RH,53.307,8.952,-25.640
19427,251091,LimbicA_TempPole_5_RH,25.189,5.299,-21.157
19428,251105,LimbicA_TempPole_5_RH,19.425,5.998,-23.636
19429,251108,DefaultB_AntTemp_1_RH,52.415,7.297,-27.144
19430,251111,DefaultB_AntTemp_3_RH,50.149,4.719,-27.554
19431,251117,LimbicA_TempPole_5_RH,17.799,5.894,-26.120
19432,251125,DefaultB_AntTemp_1_RH,59.384,4.634,-33.060
19433,251130,LimbicA_TempPole_5_RH,19.605,6.719,-31.531
19434,251132,DefaultB_AntTemp_1_RH,57.883,1.875,-36.443
19435,251143,DefaultB_AntTemp_1_RH,54.583,0.900,-38.710
19436,251144,DefaultB_AntTemp_1_RH,52.654,0.437,-38.485
19437,251145,DefaultB_AntTemp_1_RH,50.859,1.019,-38.080
19438,251190,LimbicA_TempPole_1_RH,39.690,6.016,-44.204
19439,251197,LimbicA_TempPole_5_RH,25.146,2.699,-43.683
19440,251199,LimbicA_TempPole_1_RH,39.117,5.110,-48.107
19441,251202,LimbicA_TempPole_1_RH,24.082,3.709,-48.344
19442,251207,LimbicA_TempPole_1_RH,25.821,3.426,-50.175
19443,251216,SalVentAttnA_FrMed_6_RH,10.114,4.710,75.258
19444,251221,SalVentAttnA_FrMed_6_RH,12.092,5.217,74.120
19445,251226,SalVentAttnA_FrMed_6_RH,3.821,4.028,73.758
19446,251242,SalVentAttnB_PFCd_1_RH,26.152,5.803,70.681
19447,251247,SalVentAttnA_FrMed_6_RH,1.950,4.644,69.463
19448,251249,SalVentAttnA_FrMed_7_RH,17.973,5.806,71.237
19449,251261,SalVentAttnB_PFCd_1_RH,26.335,5.138,65.638
19450,251280,ContB_PFCld_5_RH,31.634,3.413,65.745
19451,251288,SalVentAttnA_FrMed_6_RH,2.188,4.735,63.385
19452,251289,ContB_PFCld_5_RH,37.526,3.568,65.059
19453,251315,ContB_PFCld_6_RH,28.275,3.659,61.896
19454,251322,ContB_PFCld_5_RH,41.079,5.734,60.510
19455,251327,SalVentAttnA_FrMed_5_RH,3.216,5.718,58.415
19456,251347,DorsAttnB_FEF_3_RH,21.127,4.412,57.326
19457,251355,ContB_PFCld_5_RH,40.272,6.660,56.782
19458,251362,SalVentAttnA_FrMed_5_RH,4.623,5.997,55.845
19459,251373,SalVentAttnA_FrMed_5_RH,6.469,6.842,55.011
19460,251385,DorsAttnB_FEF_3_RH,20.872,4.315,54.124
19461,251393,ContB_PFCld_5_RH,39.845,6.447,52.849
